"","totMarkValue_1997","perBigMark1997","opgr500k_1997","opgr2000acres_1997","cattlegr500_1997","ophogsgr1000_1997","broilgr500000_2002","layergr100000_2002","turkeyContracts_2002","Adens_Int","cluster"
"19151",143079000,27.84755275,44,7,1,34,0,1,0,35.48130008,"1"
"19153",74205000,33.12714777,36,10,0,5,0,0,0,15.07048543,"2"
"19155",196257000,33.102004,58,18,19,30,0,0,0,38.35210653,"1"
"19157",109430000,30.95403454,27,10,5,13,0,1,0,45.1645046,"2"
"19159",49689000,38.18148886,11,11,6,15,1,0,0,72.39003392,"2"
"19161",193395000,53.22681558,76,11,16,82,0,0,0,129.6629455,"1"
"19163",96554000,33.12032645,40,4,4,27,0,0,0,42.98526064,"1"
"19165",135512000,24.74909971,28,3,11,29,0,0,0,57.46909624,"1"
"19167",511743000,62.44560258,252,5,87,219,2,7,1,244.550551,"1"
"19169",135320000,33.44812297,49,15,8,30,0,0,0,36.21343136,"1"
"19171",130061000,25.52340825,32,9,3,20,0,0,0,38.46689444,"1"
"19173",62701000,36.35029744,10,15,3,8,0,1,0,36.54199919,"2"
